Isocortex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,1557,1741,1369,983,657,796,1546,2456,3284,4144,4942,5888,6661,7426,7776,8067,7776,7660,7270,7041,7228,7206,7377,7383,7524,7619,7644,7853,8088,8347,8602,8774,8815,9205,9506,9922,10086,10274,10160,10545,10805,10538,10693,10315,10161,10398,9952,9630,9619,9504,9368,9526,9404,9463,9412,9226,9122,8981,9205,8843,8933,8925,9032,8559,8884,8458,8291,8246,7833,7640,7560,7346,7173,6875,6797,6337,5827,5433,4758,4304,3601,2944,2105,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLF,0,3079,3680,3446,3671,3806,4011,4278,4512,4827,4956,5277,5537,5624,5104,3857,3268,2977,2746,2492,2368,2370,2308,2356,2336,2386,2302,2250,2032,2061,2286,1786,1389,1281,1057,931,733,539,572,597,542,621,577,576,657,676,655,663,658,737,932,1043,1102,1352,1367,1453,1420,1438,1494,1612,1437,1538,1657,1530,1565,1737,1740,1700,1857,1999,1833,1692,1331,1264,1137,1103,1156,1221,1171,1037,970,928,740,594,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,3,4,3,4,3,1,0,0,0,1,1,85,150,176,133,120,844,1023,1113,1360,1608,2084,2164,2350,2495,2449,2462,2956,3605,3533,3717,3167,2755,2877,3013,3129,3842,4191,4433,4936,5085,5047,4897,4864,5511,6077,3043,3053,3566,3639,2264,1292,1065,838,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTXsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,189,166,222,357,365,390,339,272,314,232,245,200,206,212,174,164,152,134,180,172,172,185,213,234,271,292,292,380,452,413,453,542,540,705,850,864,941,987,1005,1010,1087,1216,1286,1001,662,514,387,236,174,180,146,126,104,90,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,570,1310,2146,2757,3258,3516,4367,5053,5662,6134,6279,6452,6613,6647,6795,6786,6398,6007,5739,5147,4548,4046,3684,3342,2917,2748,2698,2691,2713,2788,2746,2467,2211,1993,1962,1811,1604,1370,1064,787,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,144,136,135,150,300,266,502,566,663,847,963,906,982,1069,1223,1192,1052,1032,1133,1222,1139,1224,1152,1013,958,785,587,498,398,412,293,321,236,212,124,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,161,589,626,682,706,924,1388,1115,1123,1176,997,815,798,594,589,567,488,439,378,360,252,119,103,70,70,69,79,87,94,78,55,40,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,61,349,420,425,346,249,256,229,267,276,264,313,388,472,483,731,768,696,477,225,287,283,325,362,516,613,701,798,785,743,659,507,352,244,180,114,46,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,163,573,975,1283,1342,1284,1024,840,839,971,1099,1467,1461,1509,1372,1170,887,757,619,505,439,406,458,467,486,499,455,449,561,584,655,741,668,655,439,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,5,23,29,69,85,80,127,91,90,114,116,125,103,115,170,193,151,145,136,85,59,43,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,3,5,2,25,43,49,110,175,165,149,212,165,117,70,68,72,74,71,61,68,68,81,102,85,66,65,69,49,71,75,73,0,0,0,0,0
CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,28,23,29,23,14,0,0,0,129,247,496,847,938,885,1258,1736,1882,968,424,483,799,849,769,666,227,19,19,10,29,20,91,33,49,30,32,10,6,3,8,6,8,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
